Comment,Designator,Footprint,LCSC Part #
0.01u,C1 C7 C8 C9,C0603,C85863
22p,C2 C3,C0603,C183114
10u,C4 C5 C6,C0603,C86275
XF2M-2015-1A,CH1,XF2M-2015-1A,C57541
7V12006001,CR1,7V12006001,C5203634
PGB1010603MR,D1 D2 D3 D4 D5 D6,603,C142698
BLM15AX601SN1D,FL1 FL2 FL3,BLM15AX601SN1D,C76886
FE1.1S,IC1,FE1.1S,C9359
SN74HC595DR,IC2,SOIC-16,C10092
Green,LED1 LED2 LED8 LED10 LED12 LED14,SML0603,C126319
Yellow,LED3 LED4 LED5 LED6,SML0603,C253534
Red,LED7 LED9 LED11 LED13,SML0603,C253533
1k,R1 R2 R4 R5 R6 R8 R9 R10 R11 R12 R13 R14 R15,R0603,C22548
2.7k,R3,R0603,C114612
10k,R7,R0603,C98220
SKRPACE010,SW1,SKRPACE010,C139797
USB_A_X1_SMD,USB2 USB3,USB_A_X1_SMD,
