Designator,Mid X,Mid Y,Layer,Rotation
C1,35.24,-4.76,Top,180.0
C2,17.14,13.34,Top,90.0
C3,24.77,13.34,Top,270.0
C4,27.94, 6.99,Top,0.0
C5,28.02,10.16,Top,0.0
C6,27.94, 3.81,Top,0.0
C7,27.94, 0.64,Top,0.0
C8,35.56,24.77,Top,0.0
C9,-22.86,24.77,Top,0.0
CH1,43.50,-12.75,Top,90.0
CR1,20.96,13.34,Top,0.0
D1,35.24,-8.57,Top,0.0
D2,35.24,-6.67,Top,0.0
D3,13.97, 3.81,Top,0.0
D4,13.97, 0.64,Top,0.0
D5,13.97,10.16,Top,0.0
D6,13.97, 6.99,Top,0.0
FL1,38.10,-4.76,Top,0.0
FL2,35.56,23.50,Top,0.0
FL3,-22.86,23.50,Top,0.0
IC1,20.96, 5.40,Top,0.0
IC2,-1.27, 6.35,Top,0.0
LED1,36.51,-19.69,Top,90.0
LED2,33.97,-19.69,Top,90.0
LED3,31.12,-19.69,Top,90.0
LED4,28.58,-19.69,Top,90.0
LED5,26.67,-19.69,Top,90.0
LED6,24.77,-19.69,Top,90.0
LED7,21.91,-19.69,Top,90.0
LED8,20.00,-19.69,Top,90.0
LED9,17.46,-19.69,Top,90.0
LED10,15.56,-19.69,Top,90.0
LED11,13.02,-19.69,Top,90.0
LED12,11.11,-19.69,Top,90.0
LED13, 8.57,-19.69,Top,90.0
LED14, 6.67,-19.69,Top,90.0
R1,36.51,-13.34,Top,90.0
R2,33.97,-13.34,Top,90.0
R3,20.96,-1.59,Top,180.0
R4,31.12,-13.34,Top,270.0
R5,28.58,-13.34,Top,270.0
R6,26.67,-13.34,Top,270.0
R7,-1.27,12.70,Top,0.0
R8,21.91,-13.34,Top,90.0
R9,20.00,-13.34,Top,90.0
R10,17.46,-13.34,Top,90.0
R11,15.56,-13.34,Top,90.0
R12,13.02,-13.34,Top,90.0
R13,11.11,-13.34,Top,90.0
R14, 8.57,-13.34,Top,90.0
R15, 6.67,-13.34,Top,90.0
USB2,29.21,39.00,Top,180.0
USB3,-29.21,39.00,Top,180.0
